year,grade,exam_family,month,external_post_id,source_content_key,source_subject_key,raw_subject_label,canonical_code,mapping_status,source_resource_key,resource_type,source_label,post_url,source_url,file_url,link_kind,link_status,published_at,source_updated_at,feed_updated_at,is_active
2024,3,national_mock,5,1617,main,수학,수학,math,provisional,cYLqbK/btsHl8gVSBo,answer_explanation,"2024_5월_수학 정답,해설.pdf",https://legendstudy.com/1617,"https://blog.kakaocdn.net/dna/cYLqbK/btsHl8gVSBo/x/2024_5월_수학 정답,해설.pdf",,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,영어,영어,english,provisional,xhPDJ/btsHjvLuePJ,question,2024_5월_영어 문제.pdf,https://legendstudy.com/1617,https://blog.kakaocdn.net/dna/xhPDJ/btsHjvLuePJ/x/2024_5월_영어 문제.pdf,,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,영어,영어,english,provisional,1Ughi/btsHk0KIxhf,answer_explanation,"2024_5월_영어 정답,해설.pdf",https://legendstudy.com/1617,"https://blog.kakaocdn.net/dna/1Ughi/btsHk0KIxhf/x/2024_5월_영어 정답,해설.pdf",,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,영어,영어,english,provisional,oc9qD/btsHknl7RgR,listening_script,2024_5월_영어 듣기대본.pdf,https://legendstudy.com/1617,https://blog.kakaocdn.net/dna/oc9qD/btsHknl7RgR/x/2024_5월_영어 듣기대본.pdf,,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,한국사,한국사,korean_history,provisional,1gcmn/btsHjZ6CZa1,question,2024_5월_한국사 문제.pdf,https://legendstudy.com/1617,https://blog.kakaocdn.net/dna/1gcmn/btsHjZ6CZa1/x/2024_5월_한국사 문제.pdf,,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,한국사,한국사,korean_history,provisional,zHnDX/btsHi5e9IAs,answer_explanation,"2024_5월_한국사 정답,해설.pdf",https://legendstudy.com/1617,"https://blog.kakaocdn.net/dna/zHnDX/btsHi5e9IAs/x/2024_5월_한국사 정답,해설.pdf",,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,물리학1,물리학1,physics_1,provisional,SQy7B/btsHkkv9Y9y,question,2024_5월_과_물리학1 문제.pdf,https://legendstudy.com/1617,https://blog.kakaocdn.net/dna/SQy7B/btsHkkv9Y9y/x/2024_5월_과_물리학1 문제.pdf,,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,물리학1,물리학1,physics_1,provisional,cfBHsA/btsHl46F9kM,answer_explanation,"2024_5월_과_물리학1 정답,해설.pdf",https://legendstudy.com/1617,"https://blog.kakaocdn.net/dna/cfBHsA/btsHl46F9kM/x/2024_5월_과_물리학1 정답,해설.pdf",,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,물리학2,물리학2,physics_2,provisional,b1MNhV/btsHjZeuacv,question,2024_5월_과_물리학2 문제.pdf,https://legendstudy.com/1617,https://blog.kakaocdn.net/dna/b1MNhV/btsHjZeuacv/x/2024_5월_과_물리학2 문제.pdf,,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,물리학2,물리학2,physics_2,provisional,udnBQ/btsHjvLufjo,answer_explanation,"2024_5월_과_물리학2 정답,해설.pdf",https://legendstudy.com/1617,"https://blog.kakaocdn.net/dna/udnBQ/btsHjvLufjo/x/2024_5월_과_물리학2 정답,해설.pdf",,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,생명과학1,생명과학1,life_science_1,provisional,PuXAY/btsHk2BKNSS,question,2024_5월_과_생명과학1 문제.pdf,https://legendstudy.com/1617,https://blog.kakaocdn.net/dna/PuXAY/btsHk2BKNSS/x/2024_5월_과_생명과학1 문제.pdf,,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,생명과학1,생명과학1,life_science_1,provisional,cRZc1k/btsHkYe4pOY,answer_explanation,"2024_5월_과_생명과학1 정답,해설.pdf",https://legendstudy.com/1617,"https://blog.kakaocdn.net/dna/cRZc1k/btsHkYe4pOY/x/2024_5월_과_생명과학1 정답,해설.pdf",,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,생명과학2,생명과학2,life_science_2,provisional,yGWek/btsHlFswFjm,question,2024_5월_과_생명과학2 문제.pdf,https://legendstudy.com/1617,https://blog.kakaocdn.net/dna/yGWek/btsHlFswFjm/x/2024_5월_과_생명과학2 문제.pdf,,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,생명과학2,생명과학2,life_science_2,provisional,sehd5/btsHkYzmQu1,answer_explanation,"2024_5월_과_생명과학2 정답,해설.pdf",https://legendstudy.com/1617,"https://blog.kakaocdn.net/dna/sehd5/btsHkYzmQu1/x/2024_5월_과_생명과학2 정답,해설.pdf",,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,지구과학1,지구과학1,earth_science_1,provisional,bPcmGV/btsHjUK2GUn,question,2024_5월_과_지구과학1 문제.pdf,https://legendstudy.com/1617,https://blog.kakaocdn.net/dna/bPcmGV/btsHjUK2GUn/x/2024_5월_과_지구과학1 문제.pdf,,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,지구과학1,지구과학1,earth_science_1,provisional,k2RZx/btsHlcdjGOm,answer_explanation,"2024_5월_과_지구과학1 정답,해설.pdf",https://legendstudy.com/1617,"https://blog.kakaocdn.net/dna/k2RZx/btsHlcdjGOm/x/2024_5월_과_지구과학1 정답,해설.pdf",,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,지구과학2,지구과학2,earth_science_2,provisional,ZQQcb/btsHjdYzUgk,question,2024_5월_과_지구과학2 문제.pdf,https://legendstudy.com/1617,https://blog.kakaocdn.net/dna/ZQQcb/btsHjdYzUgk/x/2024_5월_과_지구과학2 문제.pdf,,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,지구과학2,지구과학2,earth_science_2,provisional,sXAtb/btsHjtz6Vdq,answer_explanation,"2024_5월_과_지구과학2 정답,해설.pdf",https://legendstudy.com/1617,"https://blog.kakaocdn.net/dna/sXAtb/btsHjtz6Vdq/x/2024_5월_과_지구과학2 정답,해설.pdf",,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,화학1,화학1,chemistry_1,provisional,lgaQO/btsHiGfEcoq,question,2024_5월_과_화학1 문제.pdf,https://legendstudy.com/1617,https://blog.kakaocdn.net/dna/lgaQO/btsHiGfEcoq/x/2024_5월_과_화학1 문제.pdf,,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
